DETLOC,Name,Address,City,County,State,Zip,AOR,Date of Last Use,Date of First Use,Lat,Lng
ABRDNWA,ABERDEEN CITY JAIL,210 EAST MARKET ST,ABERDEEN,GRAYS HARBOR,WA,98520,SEA,20/09/2007,14/09/2007,46.97615215,-123.8173566
ABTHOLD,ABILENE HOLD ROOM,12071 FM 3522,ABILENE,ABILENE,TX,79601,DAL,,,32.56212771,-99.63538265
ABRXSPA,ABRAXAS ACADEMY DETENTION CENTER,1000 ACADEMY DRIVE,MORGANTOWN,BERKS,PA,19543,PHI,4/11/17,23/05/2014,40.19177,-75.91592
RICRANS,"ACI (CRANSTON, RHODE ISLAND)",39 HOWARD AVE,CRANSTON,PROVIDENCE,RI,2920,BOS,4/4/05,11/9/96,41.74722048,-71.46723859
ADACOID,ADA COUNTY JAIL,7210 BARRISTER DRIVE,BOISE,ADA,ID,83704,SLC,7/9/10,28/09/1998,43.60675502,-116.269811
ADAMSWA,ADAMS COUNTY,210 W BRAODWAY,RITZVILLE,ADAMS,WA,99169,SEA,20/09/2012,6/10/03,47.12747,-118.38267
ADAMSCO,ADAMS COUNTY JAIL,1901 E BRIDGE STREET,BRIGHTON,ADAMS,CO,80601,DEN,20/03/2008,22/01/1991,39.986877,-104.799156
ADAMSPA,ADAMS COUNTY JAIL,45 MAJOR BELL LANE,GETTYSBURGH,ADAMS,PA,17325,PHI,,,39.85883,-77.15777
ADDCOVT,ADDISON COUNTY JAIL,35 COURT STREET,MIDDLEBURY,ADDISON,VT,5753,BOS,30/01/2012,9/2/04,44.0115189,-73.16354529
ADLNTCA,ADELANTO ICE PROCESSING CENTER,10250 RANCHO ROAD,ADELANTO,SAN BERNARDINO,CA,92301,LOS,4/11/17,29/08/2011,34.55772948,-117.4418648
AGAHOLD,AGANA HOLD,108 Herman Cortez Ave,Hag̴ṯa,GUAM,GU,96910,SFR,14/11/2016,24/03/2002,13.476607,144.747679
AGC,AGUADILLA,"Maleza Baja, Aguadilla, Puerto Rico, Aguadilla 00604
Puerto Rico",AGUADILLA,AGUADILLA,PR,603,MIA,5/8/13,7/2/87,18.49428,-67.14213
AIRHOPR,AIRPORT HOTEL (SAN JUAN),LUIS MUNOZ MARIN INTR AIRPORT,ISLA VERDE,CAROLINA,PR,913,MIA,18/04/2017,24/10/1990,18.439917,-66.004817
ALAMCNC,ALAMANCE COUNTY DETENTION FACILITY,109 SOUTH MAPLE STREET,GRAHAM,ALAMANCE,NC,27253,ATL,18/09/2012,15/05/2006,36.0685551,-79.402463
ALMHOLD,ALAMOSA HOLDROOM,1921 STATE STREET,ALAMOSA,ALAMOSA,CO,81101,DEN,26/10/2012,26/02/2011,37.487897,-105.8597891
ALBANWY,ALBANY COUNTY JAIL,ALBANY COUNTY COURTHOUSE,LARAMIE,ALBANY,WY,82070,DEN,29/01/2008,6/2/92,41.31129205,-105.590273
ALBCONY,ALBANY COUNTY JAIL,840 ALBANY SHAKER ROAD,ALBANY,KINGS,NY,12211,BUF,4/11/17,13/07/1988,42.75141,-73.81536
ALBHOLD,ALBANY HOLD ROOM,1086 TROY-SCHENECTADY RD,LATHAM,ALBANY,NY,12110,BUF,14/06/2017,25/05/2016,42.7533809,-73.769379
ALBEMVA,ALBEMARLE-CHARLOTTSVILLE,"160 Peregory Ln, Charlottesville, VA 22902",CHARLOTTESVILLE,ABERMARLE,VA,22901,WAS,13/08/2014,11/12/13,38.006074,-78.494559
ABQHOLD,ALBUQUERQUE HOLD ROOM,1720 RANDOLPH ROAD,ALBUQUERQUE,BERNALILLO,NM,87106,ELP,24/10/2017,26/05/2009,35.0526543,-106.6292985
ALEXAVA,ALEXANDRIA CITY JAIL,2003 MILL ROAD,ALEXANDRIA,ALEXANDRIA CITY,VA,22314,WAS,31/10/2017,28/11/1989,38.79861232,-77.06731218
JENATLA,ALEXANDRIA STAGING FACILITY,1511 ARNOLD DRIVE,ALEXANDRIA,COUNTY,LA,71303,NOL,4/11/17,10/11/14,31.31723,-92.5364
BHCALCA,ALHAMBRA BHC HOSPITAL,4619 N ROSEMEAD BLVD.,ROSEMEAD,LOS ANGELES,CA,91770,LOS,22/01/2015,3/7/08,34.0773593,-118.0730467
ALHAMCA,ALHAMBRA CITY JAIL,211 S. FIRST ST.,ALHAMBRA,LOS ANGELES,CA,91801,LOS,8/3/16,9/7/08,34.09197,-118.12666
ALLEGNY,ALLEGANY COUNTY JAIL,4884 STATE ROUTE 19,BELMONT,ALLEGANY,NY,14813,BUF,4/11/17,5/11/87,42.21245,-78.01715
ALLEGPA,ALLEGHENY COUNTY JAIL,950 SECOND AVENUE,PITTSBURGH,ALLEGHENY,PA,15219,PHI,30/09/2014,2/4/87,40.43458225,-79.99369316
APPSCLA,ALLEN PARISH PUBLIC SAFETY COMPLEX,7340 HIGHWAY 26 WEST,OBERLIN,ALLEN,LA,70655,NOL,4/11/17,18/05/2016,30.620368,-92.756652
BOPALM,ALLENWOOD (MEDICAL) FEDERAL CORRECTIONAL INSTITUTE,"2 US-15, Allenwood, PA 17810",WHITE DEER,UNION,PA,17887,PHI,18/03/2010,18/06/1991,41.127767,-76.921971
BOPALF,ALLENWOOD LOW SECURITY FEDERAL CORRECTIONAL INSTIT,"2 US-15, Allenwood, PA 17810",WHITE DEER,UNION,PA,17887,PHI,21/06/2005,23/06/1994,41.127767,-76.921971
BOPALP,ALLENWOOD US PENITENTIARY,"Main Access Rd, Allenwood, PA 17810",WHITE DEER,UNION,PA,17887,PHI,14/09/2007,18/09/1991,41.132672,-76.925182
APIBHCA,ALVARADO PARKWAY INSTITUTE,7050 PARKWAY DR,LA MESA,SAN DIEGO,CA,91942,SND,4/11/17,27/02/2015,32.774357,-117.0440893
AMTHOLD,AMARILLO HOLD ROOM,8601 E. AMARILLO BLVD,AMARILLO,POTTER,TX,79801,DAL,7/5/17,21/03/2013,35.22253615,-101.7488485
AGMDCCA,ANAHEIM GLOBAL MEDICAL CENTER,1025 S ANAHEIM BLVD,ANAHEIM,ORANGE,CA,92805,LOS,4/11/17,14/07/2015,33.8205041,-117.9096302
ANCHOAK,ANCHORAGE CORRECTIONAL COMPLEX,1400 E. 4TH AVE,ANCHORAGE,ANCHORAGE,AK,99501,SEA,4/11/17,10/7/88,61.2183804,-149.857649
ANDROME,ANDROSCOGGIN COUNTY JAIL,2 TURNER STREET,AUBURN,ANDROSCOGGIN,ME,4210,BOS,22/01/2006,23/08/1993,44.09793375,-70.22700832
ANGELTX,ANGELINA COUNTY JAIL,C.S.C. LUFKIN C.F.113 N. SECOND ST.,LUFKIN,ANGELINA,TX,75901,HOU,7/11/04,31/03/2004,31.339888,-94.727823
AAORDMD,ANNE ARUNDEL COUNTY ORDNANCE ROAD CORRECTIONAL CTR,600 E. ORDNANCE ROAD,GLEN BURNIE,ANNE ARUNDEL,MD,21060,BAL,4/11/17,30/10/2017,39.19969535,-76.59393033
AKPSYNJ,ANNE KLEIN PSYCHIATRIC INSTITUTE,SULLIVAN WAY,W. TRENTON,MERCER,NJ,8628,NEW,19/04/2007,20/05/2005,40.2566566,-74.8159709
ANJUVMN,ANOKA COUNTY JUVENILE,7555 4TH AVENUE,LINO LAKES,ANOKA,MN,55014,SPM,21/07/2010,28/05/1998,45.18104431,-93.12241419
APACHAZ,APACHE COUNTY JAIL,370 SOUTH WASHINGTON ST,ST JOHNS,APACHE,AZ,85936,PHO,3/9/13,25/04/1993,34.50160957,-109.3644879
ARAPACO,ARAPAHOE COUNTY JAIL,3686 SOUTH COURT PLACE,LITTLETON,ARAPAHOE,CO,80120,DEN,26/05/2008,24/11/1990,39.614347,-105.0127466
ARCHUCO,ARCHULETA COUNTY JAIL,449 SAN JUAN STREET,PAGOSA SPRINGS,ARCHULETA,CO,81147,DEN,23/09/2007,7/9/07,37.26643892,-107.0115422
AZDCTUC,ARIZONA DEPARTMENT OF CORRECTIONS - TUSCON,10000 SOUTH WILMOT,TUCSON,PIMA,AZ,85734,PHO,17/07/1990,17/07/1990,32.06606205,-110.858774
ARDCTEX,ARKANSAS DEPARTMENT OF CORRECTIONS (TEXARKANA),"100 NORTH STATELINE AVENUE, BOX 21",TEXARKANA,MILLER,AR,75502,NOL,24/05/2004,14/11/2001,33.42086,-94.04316
ARLCOVA,ARLINGTON COUNTY JAIL,1435 NORTH COURTHOUSE ROAD,ARLINGTON,ARLINGTON,VA,22201,WAS,4/1/11,11/9/91,38.89054,-77.08335
AROOSME,AROOSTOOK COUNTY JAIL,15 BROADWAY,HOULTON,AROOSTOOK,ME,4730,BOS,23/01/2012,25/09/1995,46.12455726,-67.83821384
ARRMCCA,ARROWHEAD REGIONAL MED CENTER,400 N. PEPPER AVENUE,COLTON,COUNTY,CA,92324,LOS,26/10/2017,11/6/14,34.076434,-117.352826
AFRC,ARTESIA FAMILY RESIDENTIAL CENTER,1300 W. RICHEY AVENUE,ARTESIA,COUNTY,NM,88210,ELP,17/12/2014,27/06/2014,32.8571484,-104.4153316
NYARTHC,ARTHUR KILL CORRECTIONAL FACILITY,2911 ARTHUR KILL ROAD,STATEN ISLAND,RICHMOND,NY,10309,NYC,16/04/2007,11/10/84,40.5498962,-74.22816125
BOPASH,ASHLAND FEDERAL CORRECTIONAL INSTITUTE,ST RT 716,ASHLAND,BOYD,KY,41105,CHI,22/11/2004,14/11/1985,38.43568,-82.7025
ATASCTX,ATASCOSA COUNTY JAIL,C/O JAIL ADMINISTRATOR,JOURDANTON,ATASCOSA,TX,78026,SNA,1/2/07,21/02/1997,28.91759,-98.54523
ATCHIKS,ATCHINSON COUNTY JAIL,518 PARALLEL STREET,ATCHINSON,ATCHISON,KS,66002,CHI,28/07/2004,17/09/2000,39.56583,-95.11996
ATTHOLD,"ATHENS, TX HOLD ROOM",109 W CORSICANA STREET,ATHENS,HENDERSON,TX,75751,DAL,,,32.20444798,-95.85398128
ATLANGA,ATLANTA CITY DETENTION CENTER,254 PEACHTREE STREET SOUTHWEST,ATLANTA,FULTON,GA,30303,ATL,4/11/17,17/09/1996,33.7473132,-84.39539066
ATLHOLD,ATLANTA DISTRICT HOLD ROOM,"77 FORSYTH ST., SW.",ATLANTA,FULTON,GA,30303,ATL,4/11/17,30/03/2000,33.7531639,-84.3931588
ASHRSFL,ATLANTIC SHORES HOSPITAL,4545 NORTH FEDERAL HIGHWAY,FORT LAUDERDALE,BROWARD,FL,33308,MIA,8/5/17,1/12/10,26.122524,-80.137358
BOPATW,ATWATER US PENITENTIARY,"#1 FEDERAL WAY, PO BOS 019000",ATWATER,MERCED,CA,95301,SFR,22/03/2005,2/4/02,37.38606,-120.55857
AUDRNMO,AUDRAIN COUNTY JAIL,1100 LITTLEBY ROAD,MEXICO,AUDRAIN,MO,65265,CHI,17/11/2004,14/01/2003,39.168771,-91.819628
AURORCO,AURORA CITY JAIL,1500 EAST ALAMEDA DRIVE,AURORA,ARAPAHOE,CO,80017,DEN,9/4/08,29/04/1998,39.709542,-104.789661
AUSHOLD,AUSTIN DRO HOLD ROOM,300 EAST 8TH STREET,AUSTIN,TRAVIS,TX,78701,SNA,1/8/17,25/06/2010,30.269638,-97.738978
AVPARLA,AVOYELLES PARISH PRISON,675 GOVERNMENT STREET,MARKSVILLE,AVOYELLES,LA,71351,NOL,30/08/2001,5/10/86,31.11579343,-92.06695499
AVWOMLA,AVOYELLES WOMENS CORRECTIONAL CENTER,675 GOVERNMENT ST,MARKSVILLE,AVOYELLES,LA,71351,NOL,27/05/2004,24/08/1992,31.11579343,-92.06695499
IWAHOLD,AZ REM OP COORD CENTER (AROCC),"130 N Robson, Mesa, AZ 85201",MESA,MARICOPA,AZ,85204,PHO,31/10/2017,24/01/2010,33.4180114,-111.8367566
CACFBAK,BAKER CALIFORNIA CORRECTIONAL FACILITY (CCF),"10 Lakeview Rd, Baker, CA 92309",BAKER,BAKER,CA,92309,LOS,,,35.27852933,-116.0551281
BAKERFL,BAKER COUNTY SHERIFF'S OFFICE,1 SHERIFF OFFICE DRIVE,MACCLENNY,BAKER,FL,32063,MIA,4/11/17,7/6/00,30.29596,-82.12172
BKLHOLD,BAKERFIELD HOLD,800 TRUXTUN,BAKERSFIELD,SUMMIT,CA,93301,SFR,3/11/17,11/2/08,35.37372,-119.01121
BALDWAL,BALDWIN COUNTY CORRECTIONAL CENTER,200 HAND AVE.,BAY MINETTE,BALDWIN,AL,36507,NOL,4/11/17,20/04/2011,30.88454,-87.774769
BALHOLD,BALTIMORE DD&P,1530 CATON CENTER DRIVE,BALTIMORE,BALTIMORE,MD,21227,BAL,29/10/2017,1/7/01,39.2554234,-76.680689
BANNOID,BANNOCK COUNTY JAIL,5800 SOUTH 5TH AVE,POCATELLO,BANNOCK,ID,83204,SLC,21/09/2010,29/01/1991,42.8389531,-112.4095475
BARNSMA,BARNSTABLE COUNTY,"ROUTE 6 COURTHOUSE COMPLEX, BOX 397",BARNSTABLE,BARNSTABLE,MA,2630,BOS,22/04/2012,24/10/2006,41.69936,-70.30434
BARRECA,BARRETT HONOR CAMP,21077 LYONS VALLEY ROAD,ALPINE,PANOLA,CA,91901,SND,2/1/01,12/5/86,32.73011,-116.69462
BASCOTX,BASTROP COUNTY JAIL,C/O JAIL ADMINISTRATOR,BASTROP,BASTROP,TX,78602,SNA,18/09/2007,27/12/1990,30.10159,-97.30862
